Region,Team,Official Summoner Name,ids,Roles (LeaguePedia),Roles (RCD)
BR,FLUXO,Baldan,{},Top,NaN
BR,FLUXO,Forlin,{},Top,NaN
BR,FLUXO,Tay,"{'None': ['BR: 7ay', 'Esdeath', 'FPXzhaoTOP303485CN: BR01']}",Top,NaN
BR,FLUXO,Disamis,{},Jungle,NaN
BR,FLUXO,Ancrath,{},Jungle,NaN
BR,FLUXO,Hauz,{},Mid,NaN
BR,FLUXO,Picknn,{},Mid,NaN
BR,FLUXO,Xoska,{},Mid,NaN
BR,FLUXO,Kojima,{},Bot,NaN
BR,FLUXO,Brance,{'None': ['LLL Brance']},Bot,NaN
BR,FLUXO,JoJo,{'None': ['BR: v J o J oEUW: Aegis fangirlQAQ']},Sup,NaN
BR,FLUXO,Kick,{},Sup,NaN
BR,FURIA,Fonix,{},Top,NaN
BR,FURIA,Betão,{},Top,NaN
BR,FURIA,Gru,{},Top,NaN
BR,FURIA,Goot,{},Jungle,NaN
BR,FURIA,StineR,{},Jungle,NaN
BR,FURIA,Tutsz,{'None': ['Tutsz']},Mid,NaN
BR,FURIA,Fuuu,{},Mid,NaN
BR,FURIA,Ayu,{},Sup,NaN
BR,FURIA,yazi,{},Bot,NaN
BR,FURIA,Manel,{},Sup,NaN
BR,FURIA,Shoiti,{},Sup,NaN
BR,FURIA,zay,"{'None': ['little zay', 'zay', 'ZAYBAS']}",Sup,NaN
BR,FURIA,Strix,{},Jungle,NaN
BR,INTZ,Eradan,{},Top,NaN
BR,INTZ,Zzk,{},Top,NaN
BR,INTZ,Paclo,{},Top,NaN
BR,INTZ,Tatu,{},Jungle,NaN
BR,INTZ,Yampi,{'None': ['CNB HyperX Yampi']},Jungle,NaN
BR,INTZ,NOsFerus,"{'None': ['Julius Kreuz', 'modo ben 10', 'NOsFerus1', 'OLHA O MAPA PFV']}",Mid,NaN
BR,INTZ,Blacky,{},Mid,NaN
BR,INTZ,Juzo,{},Bot,NaN
BR,INTZ,NinjaKiwi,{},Bot,NaN
BR,INTZ,Look,{},Sup,NaN
BR,INTZ,Thominhas,{},Sup,NaN
BR,INTZ,Nia,{'None': ['KR: 연애꽃1']},Sup,NaN
BR,KaBuM! Esports,SuperCleber,{},Top,NaN
BR,KaBuM! Esports,Lonely,{'None': ['KR:FA Lonely']},Top,NaN
BR,KaBuM! Esports,Scary,{},Jungle,NaN
